,label,Clean_tweet
13,1,cnn call michigan middl school build wall chant tcot
14,1,comment australia opkillingbay seashepherd helpcovedolphin thecov helpcovedolphin
17,1,retweet agre
23,1,lumpi say prove lumpi
34,1,unbeliev st centuri need someth like neverump xenophobia
56,1,let fight love peac
68,1,c white establish blk folx run around love promot great
77,1,hey white peopl call peopl white race ident meda
82,1,altright us amp insecur lure men whitesupremaci
111,1,interest linguist address race amp racism power raciolinguist bringsa
114,1,mock obama black brexit
131,1,peopl protest trump republican trump fuher amp
151,1,ye call michelleobama gorilla racist long thought black peopl beta
156,1,smaller hand show barri probabl lie knick game suck golfa
167,1,point one finger million point right back jewishsupremacist
192,1,might libtard libtard sjw liber polit
210,1,take trash america vote hate vote vote vota
232,1,hold open door woman woman nice thing even tri deni
263,1,man ran governor ny state biggest african american popul
264,1,stereotyp prejud offer hope solut creat old repetit hate conflicta
269,1,mani pol pass mani time said noth bluelivesmatt draintheswamp ferguson
313,1,horribl ad made u cring
321,1,die light villag green towna antisemit hocoschool columbiamd hocomd
332,1,never answer statement nazi hatr amp bigotri found wa
354,1,might libtard libtard sjw liber polit
362,1,trump ny co chair make racist remark michel obama p p fyi tcot
374,1,pic say otherwi young girl confin kitchen void mean beyond cheap public topoli
405,1,block troll promi blacklivesmatt amp let nonsen rant boosa
425,1,nazi studi american race law inspir ushistori eugen
432,1,biher absolut origin hate bigotri altright hatr african american potu theresist
443,1,fo woh offic viral arrest video arud racista chief crime officera
486,1,discuss republican thing critiqu ignor consequ
498,1,black amp feel like stomp retweet tampa miamia
515,1,allahsoil familiar becom difficult stereotyp
526,1,anti racist codeword antiwhit asia asian africa african white countri everyona
531,1,prai cleveland polic rnc polic consent decre white tamirr rip
544,1,prevent bigot
550,1,girl world sexi matur housewif
558,1,like blacklivesmatt slogan talk
569,1,feminismiscanc feminismisterror feminismmuktbharat malevot ignor
571,1,fox new come say bluntli one thing v read
579,1,ye let suppo openli prowar anti islam homophob rapist advoc hypocrit
609,1,porn vid wwwsmallgirlsexcom
617,1,latest obsidian radio daili thank latesnew
621,1,might libtard libtard sjw liber polit
622,1,overwhelm evid compani trump keep echo sentiment amp ideal dumptrump
649,1,nigger lifelesson white kid grew blogpost whitepeopl respecta
692,1,carolyn cooper ugli poor ignor black
733,1,definit mexican fakenews
735,1,stand racism hate americad cur congress hater deplor hatea
746,1,trump use hate putin win white hou trump press attack khan famili g p leader
749,1,everytim wear soccer shi joie fri say look mexican fuck
763,1,danger white liber oveurn appli liber men femin
771,1,great aicl right money starspangledbann slaveri apaheid usa
780,1,thank power social media aand
790,1,keep tell aryan allow rape women troll eod
793,1,minut trump condemn vile bigot comment hi surrog carlpaladino endhatea
795,1,allahsoil vp got multi million dollar bonu averag american lost home
802,1,jan interest discrimin affect crimin justic system
804,1,keep opposit endthen
811,1,guess talk progress advanc misogyni homophobia bigotri
815,1,jake right mani ppl lack power take stand amp drown small mind amp oft evil tendenc past
826,1,user possibl speak topic without bring race bigot
831,1,rushlimbaugh incr obama impress via
860,1,black professor make assumpt entir race whilst speak entir race next week jew
863,1,trumpusa call u homophob misogynist realli say jealou u wa
879,1,like video sjw retard want
889,1,msg hope newyear busi end endof tedtalk tedatibm
912,1,non stop elect blame cspan hide year pittsburgh california
916,1,peopl protest trump republican trump fuher amp
933,1,opinion racism degrad peopl base race justifi discrimin open violenc stoprac
979,1,allahsoil next best seller book isi islam world word terrorist gwot
984,1,forget research show sexist men psycholog problem tuckercarlson
987,1,im attract asian ppl bc im asian tell im attract u bc im in race hoe
994,1,defin histor oppress histor oppressor privileg
1002,1,latest volatil daili thank space
1006,1,radic counter terrorist see u inhuman free judg color
1039,1,look passion ivankatrump plane fake yet ignor adamsaleh raa
1047,1,today donkey zionazi proud murder real palestinian semit child calla
1079,1,fn seek rid anti semit xenophob imag major sympathi still describ thea
1108,1,happi lbgt famili get incess thin veil gay minor
1116,1,racist intent guy joke via trump barackobama michelleobama
1136,1,quebec humanright amp justic system fail protect victim polic
1155,1,would never guess would disappoint citi berlin
1170,1,work uk white amp politician impo thief black investig amp prosecut returnmyvinyl
1207,1,latest maryland daili thank chrismukkah
1214,1,also keyboard type cau coopt terrorist reg syria autocorrect cau color terrorist
1241,1,although bigot misogynist hope still qualifi keepyoureyesonthepr mlk
1244,1,america owe black africanamerican repar
1247,1,potu white still worst presid ever like presid ever trump israel happynewyear
1251,1,decolon curriculum way process togeth decolon
1274,1,profit thing im america
1317,1,treasonoustrump unsatisfi whiteisi terror move nuclear terror newa
1336,1,yay except ellen made comment suppo say kimburrel made homo resistanta
1346,1,newyear new prez new destruct new commerci new new order new tweet new poopin new kid ta
1366,1,shuckin andjivin democraticpay want vote
1374,1,like hitler definit go like traitor trump
1382,1,liber self loath mean rest u weapon yella
1392,1,buffalo school district boot trump alli racist comment birdsofafeath resist
1393,1,dear versac wont buy yur retail sign pissedoffitalian
1400,1,pay rich white snob via tcot tpc
1409,1,ultim joke earli wish tell also wish well dida
1411,1,shot insid pussi offic woman
1446,1,need differ word altogeth defin hatr white men satisfi hate ppl like
1456,1,feminismiscanc feminismisterror feminismmuktbharat malevot ignor
1463,1,tyler perri claim arev racisma critic tlc seri tyler perri claim rever criticsa
1479,1,smh cant take one side standard
1485,1,get hou order return stolen land hypocrit liar inhumanea
1491,1,psa age inform true ethnic biblic peopl cau overlap anda
1504,1,coz vid dont mean woh wotch hilari must watca
1525,1,sikh templ vandali calgari wso condemn act
1541,1,allahsoil muslim hate america emirati word
1542,1,felt lawrenc fishburn ad magic negro hollywood stereotyp made
1553,1,fed provid inadequ mentalhealth care firstnat intern memo thirdworldcanada
1564,1,amp democraticpay keep tell blm see chicago detroit amp everi inna
1571,1,get world keep spin
1583,1,team new mc amp show phillysuppophilli amp combat
1586,1,talk make racism worst logic talk talk racism make worst make worst
1596,1,allahsoil problem therea space altern explan
1602,1,paul beloy still issu vari level belgian footbal
1633,1,target illeg crimin plain commonsens
1669,1,lie disingenu excu deviant remark michel amp barackobama
1672,1,bullshit thrown muslim
1709,1,hope see show feminist reproductiveright bihcontrol
1717,1,might libtard libtard sjw liber polit
1741,1,hillaryclinton call homophob misogynist realli mean jealou wha
1742,1,wanna fuck id meet
1751,1,liber belief pay inclu belief equal anywher traa
1760,1,newyearsev may resolut b end problem like amp domesticviol turn god love
1768,1,japan abe govern mere puppet ultra rightist group aey ae edeg japan confer fascism guardian nytim bbc afp rsf
1779,1,thought alt right secretli meant white nationalist altright maga
1783,1,hitler comparison
1802,1,homegrown righti white american time like harm refuge fear
1858,1,black amp feel like stomp listen retweet tampa miamia
1860,1,might libtard libtard sjw liber polit
1868,1,academia yehtut offer nuanc take rohingya dvbmultimediagroup yehtut amp
1892,1,malia shake ass fine pass blunt
1894,1,gop fail anti mor platform
1912,1,look problem first thing thing color black white pa problem
1934,1,name woman fuck hard teen
1939,1,agr hrc wouldnat popularvot w ca much way trump wouldnat win w
1942,1,chick get fuck nude superhero
1945,1,sex free sex hotlin number
1949,1,trump suppoer voic thought women suffrag germani immigr polici
1997,1,riyadh renown deadliest traffic world wordsa
2005,1,electoralcolleg elect presid trump notmypresid newswith
2014,1,need fire amp dumb mfer hire genocid promot ass hire graduat
2023,1,peopl colour enjoy equal within lgbtq commun exclud marginali group
2044,1,seriou lede come better
2087,1,hate crime watch arab never seen much hate poor like thisdod c
2088,1,peopl spit face god medit cnn foxnew christian conserv christ
2097,1,argentin woman protest facebook sexist censorship rule eg censorship freethenippl
2110,1,heck mean plea silenc racism bulli
2118,1,allahsoil acrusadera west vs aislam terrorisma popular sequel capit vs commun
2126,1,show tit idiot
2130,1,disgust grandmoth grandson exist alreadi
2155,1,might libtard libtard sjw liber polit
2157,1,harbaugh time stupid question bikini thank time via
2166,1,techjunkiejh ath daili showa unpack blackwomen asianmen datingapp
2175,1,sea shepherd suppoer racist antirac seashepherd
2197,1,prof small dick make small mind deplorab whitesheet inbr
2236,1,travel canuck game sad disappoint oiler fan sad cheer team
2255,1,one mil american reject bigotri amp amp hatr fli flag half mast jan
2258,1,wish happi new year homophob warmong worlddang like
2293,1,ye disgust hate trumpsamerica hate
